.264    Ripped Video Data File
.3g2    3GPP2 Multimedia File
.3gp    3GPP Multimedia File
.3gp2   3GPP Multimedia File
.3gpp   3GPP Media File
.3gpp2  3GPP2 Multimedia File
.3mm    3D Movie Maker Movie Project
.3p2    3GPP Multimedia File
.60d    CCTV Video Clip
.787    AVTECH CCTV Video File
.890    Cavena Subtitles File
.aaf    Advanced Authoring Format File
.aec    Cinema 4D After Effects Composition
.aep    After Effects Project
.aepx   After Effects XML Project
.aet    After Effects Project Template
.aetx   After Effects XML Project Template
.ajp    CCTV Video File
.ale    Avid Log Exchange File
.am     Anark Media File
.amc    AMC Video File
.amv    Anime Music Video File
.amx    Adobe Motion Exchange File
.anim   Amiga Animation File
.aqt    AQTitle Subtitles File
.arcut  Prelude Rough Cut File
.arf    WebEx Advanced Recording File
.asf    Advanced Systems Format File
.asx    Microsoft ASF Redirector File
.avb    Avid Bin File
.avc    Avid Media Composer Script
.avchd  High Definition Video File
.avd    Movie Edit Pro Video Information File
.avi    Audio Video Interleave File
.avp    Avid Project File
.avs    AviSynth Script File
.avs    Application Visualization System File
.avv    Avid Volume Bin File
.awlive Active Webcam Video File
.axm    AXMEDIS Object
.bdm    AVHCD Information File
.bdmv   Blu-ray Disc Movie Information File
.bdt2   BEEDOCS Timeline 3D 2 Document
.bdt3   BEEDOCS Timeline 3D 3 Document
.bik    Bink Video File
.bin    Binary Video File
.bix    Kodicom Video File
.bmc    Bolide Movie Creator Project File
.bmk    PowerDVD MovieMark File
.bnp    Sony Camcorder Video Data File
.box    Kodicom Video
.bs4    Mikogo Session Video Recording
.bsf    Blu-ray AVC Video File
.bu     Samsung CCTV Video File
.bvr    Blue Iris Video
.byu    Brigham Young University Movie File
.camproj    Camtasia Studio Project
.camrec Camtasia Studio Screen Recording
.camv   Camtasia Video File
.ced    JVC Camera Video Data File
.cel    FLIC Animation
.cine   Phantom Digital Video File
.cip    Cavena Subtitles File
.clk    ClickView Video File
.clpi   Blu-ray Clip Information File
.cmmp   Camtasia MenuMaker Project
.cmmtpl Camtasia MenuMaker Template
.cmproj Camtasia Project File
.cmrec  Camtasia Recording
.cpi    AVCHD Video Clip Information File
.cst    Director External Cast File
.cvc    cVideo
.cx3    CMS Recorded Video File
.d2v    DVD2AVI File
.d3v    Datel Video File
.dash   MPEG-DASH Video File
.dat    VCD Video File
.dav    DVR365 Video File
.db2    Samsung CCTV Video Information File
.dce    DriveCam Video File
.dck    Resolume Deck File
.dcr    Liberty Video Recording File
.dcr    Digital Court Recorder Video File
.ddat   DivX Temporary Video File
.dif    Digital Interface Format
.dir    Adobe Director Movie
.divx   DivX-Encoded Movie File
.dlx    Sony VDU Video File
.dmb    Digital Multimedia Broadcasting File
